status_code,error,page_rank_integer,page_rank_decimal,rank,domain,website
200,,5,4.78,646996,shenandoahcountryq102.iheart.com,shenandoahcountryq102.iheart.com
200,,8,7.52,252,finance.yahoo.com,finance.yahoo.com
200,,5,4.89,328353,radio.wpsu.org,radio.wpsu.org
200,,7,6.5,3306,cointelegraph.com,cointelegraph.com
200,,4,3.99,1888384,crestonnews.com,www.crestonnews.com
200,,5,5.02,121485,newuniversity.org,newuniversity.org
200,,3,3.1,8930913,swxlocalsports.com,www.swxlocalsports.com
200,,5,4.8,562970,jacksonprogress-argus.com,www.jacksonprogress-argus.com
200,,3,3.46,4430285,wrganews.com,www.wrganews.com
200,,3,3.39,4887407,mexicoledger.com,mexicoledger.com
200,,5,4.93,192623,kyssfm.com,kyssfm.com
200,,6,5.87,8874,marxist.com,www.marxist.com
200,,6,5.93,8035,tass.com,tass.com
200,,5,4.9,235691,timeswv.com,www.timeswv.com
200,,5,5.46,23972,gjsentinel.com,www.gjsentinel.com
200,,5,4.82,528724,ieyenews.com,www.ieyenews.com
200,,6,5.67,13449,thebulletin.org,thebulletin.org
200,,5,5.26,47941,themercury.com,themercury.com
200,,3,3.0,9966052,windfm.com,windfm.com
200,,5,5.19,65045,gillettenewsrecord.com,www.gillettenewsrecord.com
200,,3,3.11,8871445,marketswired.com,www.marketswired.com
200,,5,4.96,157106,themiamihurricane.com,themiamihurricane.com
200,,5,5.27,46673,just-auto.com,www.just-auto.com
200,,5,5.13,77546,iowacapitaldispatch.com,iowacapitaldispatch.com
200,,3,2.96,10607956,river967.com,river967.com
200,,5,4.96,159049,pacific.scoop.co.nz,pacific.scoop.co.nz
200,,5,4.97,150355,bxtimes.com,www.bxtimes.com
200,,5,5.09,89403,cardchronicle.com,www.cardchronicle.com
