Date,Close/Last,Volume,Open,High,Low,Pct_Change
2018-03-09,278.87,113447100,275.7,278.87,275.34,1.74
2018-03-12,278.52,71759540,279.2,279.91,278.0801,-0.13
2018-03-13,276.72,89639370,279.84,280.41,276.03,-0.65
2018-03-14,275.3,105737200,277.81,278.02,274.67,-0.51
2018-03-15,275.0,80722410,275.88,276.61,274.43,-0.11
2018-03-16,274.2,99805450,274.5,275.39,274.14,-0.29
2018-03-19,270.49,108516000,273.35,274.3957,268.62,-1.35
2018-03-20,270.95,59438810,270.94,271.67,270.18,0.17
2018-03-21,270.43,78515750,270.9,273.27,270.19,-0.19
2018-03-22,263.67,147715200,267.91,268.87,263.36,-2.5
2018-03-23,258.05,183290800,264.17,265.02,257.83,-2.13
2018-03-26,265.11,141055300,262.13,265.43,259.41,2.74
2018-03-27,260.6,129121800,266.17,266.77,258.84,-1.7
2018-03-28,259.83,146259600,260.75,262.64,258.58,-0.3
2018-03-29,263.15,123918900,261.12,265.26,259.8389,1.28
2018-04-02,257.47,185059000,262.55,263.13,254.67,-2.16
2018-04-03,260.77,119649600,258.87,261.31,256.84,1.28
2018-04-04,263.56,123488600,256.75,264.355,256.6,1.07
2018-04-05,265.64,80939550,265.55,266.64,264.32,0.79
2018-04-06,259.72,179290700,263.42,265.11,258.0,-2.23
2018-04-09,261.0,104953500,261.37,264.84,259.9356,0.49
2018-04-10,265.15,105267300,264.27,266.04,262.98,1.59
2018-04-11,263.76,91002710,263.47,265.64,263.39,-0.52
2018-04-12,265.93,68430410,265.26,267.0,265.06,0.82
2018-04-13,265.15,84883690,267.41,267.54,264.01,-0.29
2018-04-16,267.33,62762920,267.0,268.2,266.07,0.82
2018-04-17,270.19,64011070,269.33,270.87,268.75,1.07
2018-04-18,270.39,57073780,270.69,271.3,269.87,0.07
2018-04-19,268.89,77570630,269.65,269.88,267.72,-0.55
2018-04-20,266.61,99469420,268.81,269.06,265.61,-0.85
2018-04-23,266.57,65463180,267.26,267.89,265.35,-0.02
2018-04-24,262.98,112734000,267.73,267.9762,261.28,-1.35
2018-04-25,263.63,103238300,262.91,264.13,260.85,0.25
2018-04-26,266.31,67441210,264.79,267.2452,264.29,1.02
2018-04-27,266.56,57021920,267.0,267.34,265.5,0.09
2018-04-30,264.51,80475460,267.26,267.89,264.43,-0.77
2018-05-01,264.98,75986700,263.87,265.1,262.11,0.18
2018-05-02,263.2,85501550,264.76,265.68,262.76,-0.67
2018-05-03,262.62,136144700,262.26,263.36,259.05,-0.22
2018-05-04,266.02,91154240,261.52,266.7892,261.15,1.29
2018-05-07,266.92,55054350,266.89,268.02,266.11,0.34
2018-05-08,266.92,67338050,266.5,267.325,265.15,0.0
2018-05-09,269.5,59538590,267.68,269.865,267.09,0.97
2018-05-10,272.02,70764000,270.34,272.39,270.22,0.94
2018-05-11,272.85,59725680,272.16,273.15,271.58,0.31
