,Date,Open,High,Low,Pct_Change,Close/Last,Volume
1766,2022-03-24,"3,353.22","3,402.14","3,351.52",1.05,3399.7,388.76M
1767,2022-03-25,"3,397.36","3,421.97","3,396.77",0.41,3413.69,270.56M
1768,2022-03-28,"3,412.55","3,433.57","3,408.34",0.54,3431.99,303.24M
1769,2022-03-29,"3,442.20","3,456.09","3,413.35",0.06,3433.9,306.22M
1770,2022-03-30,"3,448.73","3,448.81","3,431.87",0.25,3442.61,251.54M
1771,2022-03-31,"3,443.17","3,449.53","3,408.52",-0.99,3408.52,265.99M
1772,2022-04-01,"3,403.93","3,425.37","3,399.48",0.31,3419.11,215.34M
1773,2022-04-04,"3,418.72","3,424.79","3,414.82",-0.06,3416.97,146.89M
1774,2022-04-05,"3,426.09","3,445.01","3,425.93",0.82,3445.01,193.22M
1775,2022-04-06,"3,432.67","3,445.90","3,419.56",-0.64,3422.95,230.74M
1776,2022-04-07,"3,402.78","3,415.34","3,395.56",-0.55,3404.23,226.38M
1777,2022-04-08,"3,400.52","3,402.63","3,374.34",-0.62,3383.28,204.83M
1778,2022-04-11,"3,368.18","3,374.85","3,349.25",-0.58,3363.56,220.52M
1779,2022-04-12,"3,347.10","3,357.46","3,330.25",-0.99,3330.25,216.81M
1780,2022-04-13,"3,342.89","3,356.66","3,340.21",0.36,3342.22,188.50M
1781,2022-04-14,"3,342.68","3,359.54","3,334.07",-0.19,3335.85,188.33M
1782,2022-04-18,"3,327.16","3,330.30","3,303.07",-0.98,3303.07,165.79M
1783,2022-04-19,"3,320.53","3,344.66","3,307.13",0.12,3307.13,214.29M
1784,2022-04-20,"3,324.77","3,344.79","3,322.41",0.85,3335.32,272.99M
1785,2022-04-21,"3,345.15","3,359.62","3,337.04",0.39,3348.46,270.69M
1786,2022-04-22,"3,325.89","3,365.21","3,312.97",0.38,3361.11,373.63M
1787,2022-04-25,"3,334.53","3,356.66","3,329.77",-0.64,3339.59,334.18M
1788,2022-04-26,"3,343.15","3,350.44","3,322.05",-0.53,3322.05,350.46M
1789,2022-04-27,"3,313.08","3,322.85","3,308.03",-0.04,3320.67,273.58M
1790,2022-04-28,"3,315.75","3,344.24","3,315.07",0.43,3335.09,466.32M
1791,2022-04-29,"3,368.10","3,389.64","3,344.68",0.65,3356.9,442.99M
1792,2022-05-04,"3,365.43","3,366.93","3,342.91",-0.23,3349.27,442.45M
1793,2022-05-05,"3,371.24","3,373.15","3,338.61",-0.17,3343.57,351.02M
1794,2022-05-06,"3,295.92","3,305.72","3,289.92",-1.55,3291.89,319.53M
1795,2022-05-09,"3,279.36","3,294.88","3,270.73",-0.51,3275.07,220.95M
1796,2022-05-10,"3,251.04","3,251.31","3,226.50",-1.25,3234.19,375.85M
1797,2022-05-11,"3,220.53","3,232.06","3,210.67",-0.25,3226.07,319.65M
1798,2022-05-12,"3,205.51","3,216.73","3,165.18",-1.89,3165.18,476.14M
1799,2022-05-13,"3,196.10","3,213.22","3,189.68",0.82,3191.16,325.99M
1800,2022-05-17,"3,199.73","3,218.74","3,190.92",0.34,3201.89,307.35M
1801,2022-05-18,"3,219.98","3,241.83","3,214.14",0.73,3225.35,316.53M
1802,2022-05-19,"3,194.66","3,218.14","3,177.09",-1.07,3190.71,344.23M
1803,2022-05-20,"3,214.02","3,246.13","3,210.75",1.56,3240.58,288.72M
1804,2022-05-23,"3,246.51","3,251.61","3,213.65",-0.83,3213.65,188.16M
1805,2022-05-24,"3,216.91","3,224.74","3,195.04",-0.58,3195.04,283.41M
1806,2022-05-25,"3,198.11","3,208.97","3,172.19",-0.48,3179.58,221.96M
1807,2022-05-26,"3,203.38","3,217.88","3,201.05",0.93,3209.18,245.48M
1808,2022-05-27,"3,232.72","3,233.73","3,218.72",0.67,3230.55,240.19M
1809,2022-05-30,"3,240.16","3,246.62","3,228.65",0.26,3238.92,314.05M
1810,2022-05-31,"3,236.99","3,263.11","3,232.49",-0.2,3232.49,563.23M
1811,2022-06-01,"3,242.92","3,253.15","3,237.31",0.36,3244.0,217.37M
1812,2022-06-02,"3,233.05","3,243.76","3,217.75",-0.53,3226.72,205.40M
1813,2022-06-03,"3,236.70","3,245.18","3,224.89",0.16,3231.97,160.29M
1814,2022-06-06,"3,228.47","3,233.96","3,216.12",-0.17,3226.63,183.52M
1815,2022-06-07,"3,224.46","3,231.54","3,214.34",0.15,3231.54,206.13M
